    cometNumberAndOrbitType year month day perihelionDistancePD eccentricityE orbitalPeriodAndPerihelionW longitudeL inclinationI epochDate magnitudeMag slopeParameter namePart1 namePart2 namePart3 reference
    CJ95O010  1997 03 29.4726  0.927845  0.994910  130.7572  283.2662   89.0337  20190228  -2.0  4.0  C/1995 O1 (Hale-Bopp)                                    MPC106342
    PJ96R020  2019 02 11.4510  2.590277  0.313484  333.2859   40.0510    2.6009  20190228  11.5  4.0  P/1996 R2 (Lagerkvist)                                   NK_1615
    PJ97B010  2022 03 28.5993  2.050619  0.760287  183.4168  328.9282   12.3464  20190228  15.0  2.0  P/1997 B1 (Kobayashi)                                    MPC_30063
    PJ98V24S  2018 01 18.6860  3.438127  0.241587  244.8745  159.0392    5.0225  20190228  13.0  2.0  P/1998 VS24 (LINEAR)                                     MPC_75703
    PJ99D010  2012 12 17.2642  1.654194  0.712909  174.1106  348.7796   21.3169  20190228  15.0  4.0  P/1999 D1 (Hermann)                                      NK_1780
    PJ99R010  2019 08 31.4643  0.050638  0.979823   56.6324  351.8226   11.4542  20190228  27.0  6.0  P/1999 R1 (SOHO)                                         CCO_17
    PJ99R28O  2019 06 26.0148  1.124501  0.671818  231.2745  137.8855    7.5648  20190228  20.0  2.0  P/1999 RO28 (LONEOS)                                     NK_731
    PJ99XC0N  2017 06 12.1806  3.297613  0.210990  161.9938  285.2968    5.0297  20190228  13.5  2.0  P/1999 XN120 (Catalina)                                  MPC_75704
    PK00R020  2019 06 17.2897  1.623415  0.531437  176.4548  160.3121   11.6832  20190228  18.0  4.0  P/2000 R2 (LINEAR)                                       NK_744
    PK00S040  2019 09 26.5824  2.265521  0.681588  173.0732  173.7994   28.3748  20190228  17.5  2.0  P/2000 S4 (LINEAR-Spacewatch)                            MPC_73461
    PK01B50B  2014 09  3.1556  2.371815  0.586695  193.6566  351.2011   10.3559  20190228  13.0  4.0  P/2001 BB50 (LINEAR-NEAT)                                MPC_75704
    PK01H050  2015 10 21.4714  2.440982  0.599635  224.8416  328.6979    8.3740  20190228  12.0  4.0  P/2001 H5 (NEAT)                                         MPC_43019
    PK01Q060  2024 03  1.2705  1.408745  0.822585   43.0353   22.0374   56.8704  20190228  13.5  4.0  P/2001 Q6 (NEAT)                                         MPC_75704
    PK02E57J  2018 06 18.6271  2.627498  0.593404  167.0474  330.4288    4.9766  20190228  12.5  4.0  P/2002 EJ57 (LINEAR)                                     MPC_47727
    PK02T050  2021 12 16.6861  3.935498  0.437197  326.8915  123.1000   30.8574  20190228   8.0  4.0  P/2002 T5 (LINEAR)                                       MPC109588
    PK02T060  2024 07 26.7383  3.372239  0.559247  219.0147  207.2371   10.8567  20190228  10.5  4.0  P/2002 T6 (NEAT-LINEAR)                                  MPC109588
    CK02V94Q  2006 01 31.2247  6.829476  0.963949  100.2132   34.9124   70.4600  20190228   9.5  2.0  C/2002 VQ94 (LINEAR)                                     MPC_75007
    PK03F020  2019 11 11.8756  2.970149  0.542211  191.8002  359.0938   11.6047  20190228  16.5  2.0  P/2003 F2 (NEAT)                                         MPC_50354
    PK03L010  2020 07  9.9644  5.017671  0.253127  354.8361  226.0644    9.0206  20190228   8.5  4.0  P/2003 L1 (Scotti)                                       MPC_75704
    PK03Q29X  2025 08  5.1472  4.246898  0.472171   37.1867  264.6071   11.3900  20190228   8.5  4.0  P/2003 QX29 (NEAT)                                       MPC_50139
    PK03T120  2020 05  6.5948  0.593856  0.770385  219.5974  174.7982   11.0336  20190228  17.0  4.0  P/2003 T12 (SOHO)                                        MPC_99268
    PK03U030  2014 10 15.3935  2.480035  0.509312  356.8317  347.9850    7.0106  20190228  13.5  4.0  P/2003 U3 (NEAT)                                         MPC_75705
    PK04A010  2027 01 23.5495  5.476783  0.310425   21.6849  124.8745   10.5546  20190228   6.5  4.0  P/2004 A1 (LONEOS)                                       MPC_82312
    PK04D29O  2024 06  3.3842  4.059730  0.442240   40.7628  147.4335   14.5316  20190228  13.5  2.0  P/2004 DO29 (Spacewatch-LINEAR)                          MPC_54558
    PK04FE0Y  2015 07 27.2760  4.065777  0.169745  242.3911  326.7771    2.1357  20190228  12.5  2.0  P/2004 FY140 (LINEAR)                                    MPC_54823
