cometNumberAndOrbitType year month day perihelionDistancePD eccentricityE orbitalPeriodAndPerihelionW longitudeL inclinationI epochDate magnitudeMag slopeParameter namePart1 reference
0001P         1986 01  9.4372  0.596890  0.966587  110.9169   57.9875  162.3364  20190228   5.5  3.2  1P/Halley                                                 98/1083
0002P         2020 06 25.8488  0.336444  0.848090  186.5669  334.5602   11.7688  20190228  11.5  6.0  2P/Encke                                                 MPC105240
0004P         2021 09  6.4968  1.580864  0.584004  206.0486  194.7030    8.1473  20190228   8.0  6.0  4P/Faye                                                  MPC_92275
0006P         2021 09 18.0433  1.357480  0.612104  178.0589  138.9213   19.5021  20190228   7.5 16.0  6P/d'Arrest                                              MPC_95735
0007P         2021 05 26.9769  1.235357  0.638466  172.5280   93.3804   22.3634  20190228  10.0  6.0  7P/Pons-Winnecke                                         MPC_92984
0008P         2021 08 28.0871  1.025954  0.819876  207.5205  270.2100   54.9143  20190228   8.0  8.0  8P/Tuttle                                                MPC_75715
0009P         2016 08  2.8904  1.543044  0.509712  179.2805   68.7386   10.4752  20190228   5.5 10.0  9P/Tempel                                                MPC_84319
0010P         2021 03 24.4789  1.414212  0.538100  195.4875  117.8012   12.0379  20190228   5.0 10.0  10P/Tempel                                               MPC_92984
0011P         2020 11 23.9929  1.394148  0.578131  167.1303  239.1978   14.5641  20190228  17.0  4.0  11P/Tempel-Swift-LINEAR                                  MPC105240
0012P         2024 04 21.8825  0.778783  0.954244  199.1130  255.6884   74.0512  20190228   5.0  6.0  12P/Pons-Brooks                                           27/604
0013P         2024 06 30.8994  1.165609  0.929969   64.6518   85.8362   44.6275  20190228   5.0  6.0  13P/Olbers                                                27/604
0014P         2017 12  1.9143  2.742528  0.356226  158.9961  202.1107   27.9000  20190228   5.5 12.0  14P/Wolf                                                 MPC_10028
0015P         2021 07 13.9233  0.992276  0.716734  347.8579   13.7200    6.7965  20190228  12.0  4.0  15P/Finlay                                               MPC_91617
0016P         2021 04 16.1472  1.854296  0.491582  245.0435  139.5038    2.9978  20190228   7.5 10.0  16P/Brooks                                               MPC_92276
0017P         2021 02 20.3362  2.076268  0.428348   24.6513  326.7014   19.0254  20190228  10.0  6.0  17P/Holmes                                               MPC_83523
0019P         2022 02 27.0966  1.298176  0.636794  353.0816   74.9751   31.2634  20190228   4.5 10.0  19P/Borrelly                                             MPC_92984
0021P         2018 09 10.2744  1.012757  0.710412  172.8568  195.3901   31.9977  20190228   9.0  6.0  21P/Giacobini-Zinner                                     MPC111773
0022P         2022 03 17.8690  1.554749  0.548616  162.9109  120.8379    4.7401  20190228   3.0 10.4  22P/Kopff                                                MPC_94283
0023P         1989 08 27.4378  0.494278  0.970858  129.1553  312.0889   19.2163  20190228   7.8  3.2  23P/Brorsen-Metcalf                                      MPC_14747
0024P         2017 11 17.1319  1.202804  0.705357   57.9537   79.6266   11.7444  20190228   6.5 14.0  24P/Schaumasse                                           MPC110085
0026P         2018 10  1.8138  1.082243  0.640937    2.1951  211.5315   22.4494  20190228  12.0 16.0  26P/Grigg-Skjellerup                                     MPC_94674
0027P         2011 07 27.4781  0.754918  0.917931  196.0400  250.5703   29.0988  20190228  12.0  8.0  27P/Crommelin                                            MPC_78188
0028P         2021 03 12.1855  1.578300  0.773295  347.4504  346.3448   14.3109  20190228   8.5  6.0  28P/Neujmin                                              MPC_75715
0029P         2019 03  7.8191  5.766822  0.042989   47.7780  312.3955    9.3685  20190228   4.0  4.0  29P/Schwassmann-Wachmann                                 MPC111773
0030P         2017 08 19.9930  1.870208  0.504309   13.4670  119.4427    8.1584  20190228   9.5  6.0  30P/Reinmuth                                             MPC110085
0031P         2019 07  6.1895  3.425356  0.193092   18.3644  114.1112    4.5469  20190228   5.0  8.0  31P/Schwassmann-Wachmann                                 MPC108597
0032P         2014 10 16.4564  1.999143  0.555866   53.2698   57.7576    9.9560  20190228   6.5  8.0  32P/Comas-Sola                                           MPC_92276
0033P         2016 08 21.9087  2.201332  0.458581   20.4224   66.3644   22.4503  20190228  10.0 12.0  33P/Daniel                                               MPC_84320
0035P         2092 01  5.6514  0.767232  0.973148   29.2480  355.9799   64.0839  20190228   8.5  4.0  35P/Herschel-Rigollet                                     15/452
0036P         2020 05 31.2207  3.022705  0.268264  200.6633  181.8712    9.9518  20190228   8.5  6.0  36P/Whipple                                              MPC105240
0037P         2018 05  4.1528  1.610448  0.534167  330.0017  314.5856    8.9561  20190228  10.5  4.8  37P/Forbes                                               MPC110085
0038P         2018 11 10.9734  1.588579  0.859262  359.5801   77.9999   18.3532  20190228   3.5 12.0  38P/Stephan-Oterma                                       MPC111773
0039P         2023 05  9.3318  5.762759  0.222949   94.5756  299.2506    1.5601  20190228   5.0  6.0  39P/Oterma                                               MPC_75716
0040P         2014 11 15.1948  1.826809  0.630816   47.4431  133.8113   11.4764  20190228   5.5 12.0  40P/Vaisala                                              MPC_10028
0041P         2017 04 12.6676  1.046214  0.660862   62.2284  141.0290    9.2243  20190228  10.0 16.0  41P/Tuttle-Giacobini-Kresak                              MPC105240
0042P         2015 04  9.2674  2.021870  0.585110  147.0969  150.2301    3.9862  20190228  13.0  6.0  42P/Neujmin                                              MPC_94283
0043P         2016 12 23.7361  1.239684  0.643337  199.4012  249.1279   20.8501  20190228   8.0  6.0  43P/Wolf-Harrington                                      MPC102956
0044P         2022 04 24.3219  2.115973  0.426531   58.1311  286.4762    5.8980  20190228   8.3  6.0  44P/Reinmuth                                             MPC_89313
0045P         2016 12 29.7618  0.550929  0.819208  327.9978   87.7019    4.3256  20190228  13.5  8.0  45P/Honda-Mrkos-Pajdusakova                              MPC103849
0046P         2018 12 12.9427  1.055384  0.658710  356.3607   82.1530   11.7450  20190228  14.0  6.0  46P/Wirtanen                                             MPEC_2018-Y74
